page,variant,cohort,gender,location,location_code,uid,audio,Maincategory,Subcategory,Pagetitle,Pagenumber
116,Nüüscha,jung,W,Plaffeien,FR06,YDQV,116_Schnupfen_Nüüscha_jung_W_Plaffeien_FR06_YDQV.wav,Wortschatz,Mensch,Schnupfen,116
216,s,alt,W,Spreitenbach,AG09,TNUQ,216_Eis (Konsonant)_s_alt_W_Spreitenbach_AG09_TNUQ.wav,Lautung,Konsonanten,Eis (Konsonant),216
186,äi,alt,W,Churwalden,GR02,IKIA,186_Geiss_äi_alt_W_Churwalden_GR02_IKIA.wav,Lautung,Vokale,Geiss,186
100,Bombom,alt,M,Reckingen,VS04,ORGN,100_Bonbon_Bombom_alt_M_Reckingen_VS04_ORGN.wav,Wortschatz,Essen und Trinken,Bonbon,100
196,ue,alt,W,Konolfingen,BE13,CMSY,196_Bruder_ue_alt_W_Konolfingen_BE13_CMSY.wav,Lautung,Vokale,Bruder,196
212,kh,alt,M,Chur-Masans,GR01,RLZK,212_Kind_kh_alt_M_Chur-Masans_GR01_RLZK.wav,Lautung,Konsonanten,Kind,212
78,Couch,jung,W,Grabs,SG05,NWFD,078_Sofa_Couch_jung_W_Grabs_SG05_NWFD.wav,Wortschatz,Haus und Garten,Sofa,78
270,i(ch) berchume,alt,M,Ernen,VS02,OPGH,270_bekommen_i(ch) berchume_alt_M_Ernen_VS02_OPGH.wav,Grammatik,Verb,bekommen,270
78,Ggu(u)tschi,jung,W,Churwalden,GR02,LAKO,078_Sofa_Ggu(u)tschi_jung_W_Churwalden_GR02_LAKO.wav,Wortschatz,Haus und Garten,Sofa,78
172,ùe,jung,M,Jaun,FR04,DGSC,172_Brot_ùe_jung_M_Jaun_FR04_DGSC.wav,Lautung,Vokale,Brot,172
276,Man(n)e,alt,W,Langnau,BE15,ORZF,276_Mann Plural_Man(n)e_alt_W_Langnau_BE15_ORZF.wav,Grammatik,Substantiv,Mann Plural,276
104,(Schoggi)prügeli,jung,W,Flawil,SG04,LDNK,104_Schoggistängeli_(Schoggi)prügeli_jung_W_Flawil_SG04_LDNK.wav,,,,0
112,Tschubel,jung,M,Visp,VS10,NMZI,112_Dutt_Tschubel_jung_M_Visp_VS10_NMZI.wav,Wortschatz,Mensch,Dutt,112
234,nn,jung,W,Plaffeien,FR06,YDQV,234_Hund_nn_jung_W_Plaffeien_FR06_YDQV.wav,Lautung,Konsonanten,Hund,234
284,Hindschi,jung,M,Simplon-Dorf,VS07,ESSD,284_Hündchen_Hindschi_jung_M_Simplon-Dorf_VS07_ESSD.wav,Grammatik,Substantiv,Hündchen,284
154,e,jung,M,Ebnat-Kappel,SG02,LHAU,154_Schlitten_e_jung_M_Ebnat-Kappel_SG02_LHAU.wav,Lautung,Vokale,Schlitten,154
168,ee,alt,W,Spreitenbach,AG09,TNUQ,168_Schnee_ee_alt_W_Spreitenbach_AG09_TNUQ.wav,Lautung,Vokale,Schnee,168
338,Guet(e) Tag,alt,W,Sarnen-Kägiswil,OW03,THZB,338_Grussformeln (morgens)_Guet(e) Tag_alt_W_Sarnen-Kägiswil_OW03_THZB.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
158,u,alt,W,Bülach,ZH02,NUHA,158_Küche_u_alt_W_Bülach_ZH02_NUHA.wav,Lautung,Vokale,Küche,158
212,kch,alt,W,Oberriet,SG07,BTKD,212_Kind_kch_alt_W_Oberriet_SG07_BTKD.wav,Lautung,Konsonanten,Kind,212
82,Gröibschi,alt,W,Münchenbuchsee,BE18,FAHE,082_Apfelüberrest_Gröibschi_alt_W_Münchenbuchsee_BE18_FAHE.wav,,,,0
122,Mousa,jung,M,Jaun,FR04,QOST,122_Puppe_Mousa_jung_M_Jaun_FR04_QOST.wav,Wortschatz,Gesellschaft,Puppe,122
54,Bii(j)eli,jung,W,Glarus,GL02,KXNF,054_Biene_Bii(j)eli_jung_W_Glarus_GL02_KXNF.wav,Wortschatz,Tier,Biene,54
128,Chuss,jung,W,Schiers,GR06,BYRX,128_Kuss_Chuss_jung_W_Schiers_GR06_BYRX.wav,Wortschatz,Gesellschaft,Kuss,128
122,Tocha,alt,M,Simplon-Dorf,VS07,IXXR,122_Puppe_Tocha_alt_M_Simplon-Dorf_VS07_IXXR.wav,Wortschatz,Gesellschaft,Puppe,122
284,Hun(d)ji,jung,M,St Niklaus,VS08,IMMC,284_Hündchen_Hun(d)ji_jung_M_St Niklaus_VS08_IMMC.wav,Grammatik,Substantiv,Hündchen,284
268,praacht,jung,M,Winterthur,ZH06,GMWW,268_gebracht_praacht_jung_M_Winterthur_ZH06_GMWW.wav,Grammatik,Verb,gebracht,268
82,Ghüüs,alt,W,Saas-Grund,VS05,QDBA,082_Apfelüberrest_Ghüüs_alt_W_Saas-Grund_VS05_QDBA.wav,,,,0
104,(Schoggi)prügeli,alt,M,Teufen,AR02,TQKV,104_Schoggistängeli_(Schoggi)prügeli_alt_M_Teufen_AR02_TQKV.wav,,,,0
148,è,jung,W,Weinfelden,TG06,TIVM,148_Wespe_è_jung_W_Weinfelden_TG06_TIVM.wav,Lautung,Vokale,Wespe,148
344,Gueten Aabe,alt,W,Münchenbuchsee,BE18,CYKL,344_Grussformeln (abends)_Gueten Aabe_alt_W_Münchenbuchsee_BE18_CYKL.wav,Sprache im Alltag,Grussformeln,Grussformeln (abends),344
158,ù-o,alt,M,Zweisimmen,BE25,TUSD,158_Küche_ù-o_alt_M_Zweisimmen_BE25_TUSD.wav,Lautung,Vokale,Küche,158
116,Schnudernase,alt,W,Herisau,AR01,MXDT,116_Schnupfen_Schnudernase_alt_W_Herisau_AR01_MXDT.wav,Wortschatz,Mensch,Schnupfen,116
158,ò,alt,M,Herisau,AR01,YPDC,158_Küche_ò_alt_M_Herisau_AR01_YPDC.wav,Lautung,Vokale,Küche,158
196,üe,alt,W,Wil,SG12,YMTU,196_Bruder_üe_alt_W_Wil_SG12_YMTU.wav,Lautung,Vokale,Bruder,196
150,ä,alt,W,Solothurn,SO04,XNVQ,150_Speck_ä_alt_W_Solothurn_SO04_XNVQ.wav,Lautung,Vokale,Speck,150
338,(Guet) Tagwoll,jung,M,Blatten,VS01,STGG,338_Grussformeln (morgens)_(Guet) Tagwoll_jung_M_Blatten_VS01_STGG.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
256,chumen,alt,M,Lauterbrunnen,BE16,HZVF,256_ich komme_chumen_alt_M_Lauterbrunnen_BE16_HZVF.wav,Grammatik,Verb,ich komme,256
196,ìè,jung,W,Ernen,VS02,JVOT,196_vier_ìè_jung_W_Ernen_VS02_JVOT.wav,,,,0
284,Hundschi,alt,W,Brig-Glis-Gamsen-Ried-Brig,VS03,ZVDJ,284_Hündchen_Hundschi_alt_W_Brig-Glis-Gamsen-Ried-Brig_VS03_ZVDJ.wav,Grammatik,Substantiv,Hündchen,284
84,Heiteberi,alt,M,Vals,GR09,MHUD,084_Heidelbeere_Heiteberi_alt_M_Vals_GR09_MHUD.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
40,uf,jung,W,Escholzmatt,LU01,GYBZ,040_nach-auf_uf_jung_W_Escholzmatt_LU01_GYBZ.wav,Wortschatz,Häufige Wörter,nach/auf,40
112,Zopf,alt,M,Schänis,SG09,BZEP,112_Dutt_Zopf_alt_M_Schänis_SG09_BZEP.wav,Wortschatz,Mensch,Dutt,112
54,Biene,alt,M,Wilchingen,SH02,OTKB,054_Biene_Biene_alt_M_Wilchingen_SH02_OTKB.wav,Wortschatz,Tier,Biene,54
72,seilitinu,alt,M,Salgesch,VS06,CLEJ,072_schaukeln_seilitinu_alt_M_Salgesch_VS06_CLEJ.wav,Wortschatz,Haus und Garten,schaukeln,72
228,ra,alt,W,Igis,GR04,TGFZ,228_gern_ra_alt_W_Igis_GR04_TGFZ.wav,Lautung,Konsonanten,gern,228
100,Zältli,alt,W,Bülach,ZH02,BNAJ,100_Bonbon_Zältli_alt_W_Bülach_ZH02_BNAJ.wav,Wortschatz,Essen und Trinken,Bonbon,100
184,Nase,jung,M,Frutigen,BE09,KBMJ,184_Nase_Nase_jung_M_Frutigen_BE09_KBMJ.wav,Lautung,Vokale,Nase,184
40,uf,alt,W,Bülach,ZH02,NUHA,040_nach-auf_uf_alt_W_Bülach_ZH02_NUHA.wav,Wortschatz,Häufige Wörter,nach/auf,40
270,i überchume,jung,W,Interlaken-Unterseen,BE24,LOFY,270_bekommen_i überchume_jung_W_Interlaken-Unterseen_BE24_LOFY.wav,Grammatik,Verb,bekommen,270
100,(Zucker-)Boone,alt,F,Altdorf,UR01,BJAD,100_Bonbon_(Zucker-)Boone_alt_F_Altdorf_UR01_BJAD.wav,Wortschatz,Essen und Trinken,Bonbon,100
286,Bärnere,alt,M,Bern,BE03,SCON,286_Bernerin_Bärnere_alt_M_Bern_BE03_SCON.wav,Grammatik,Substantiv,Bernerin,286
120,Mämmi,jung,M,Simplon-Dorf,VS07,VPSN,120_Baby_Mämmi_jung_M_Simplon-Dorf_VS07_VPSN.wav,Wortschatz,Mensch,Baby,120
338,Grüessech,jung,W,Biel,BE04,MSCO,338_Grussformeln (morgens)_Grüessech_jung_W_Biel_BE04_MSCO.wav,Sprache im Alltag,Grussformeln,Grussformeln (morgens),338
196,üè-palatalisiert,jung,M,Turtmann,VS09,DMSW,196_Bruder_üè-palatalisiert_jung_M_Turtmann_VS09_DMSW.wav,Lautung,Vokale,Bruder,196
72,ritigampfe,alt,M,Münchenbuchsee,BE18,SPBA,072_schaukeln_ritigampfe_alt_M_Münchenbuchsee_BE18_SPBA.wav,Wortschatz,Haus und Garten,schaukeln,72
302,mini,alt,W,Fischingen,TG03,FPFX,302_meine Cousine_mini_alt_W_Fischingen_TG03_FPFX.wav,Grammatik,Pronomen,meine Cousine,302
100,Zuckerli,alt,W,Obersaxen,GR05,AKVO,100_Bonbon_Zuckerli_alt_W_Obersaxen_GR05_AKVO.wav,Wortschatz,Essen und Trinken,Bonbon,100
72,gigampfe,alt,M,Hospental,UR02,RLFX,072_schaukeln_gigampfe_alt_M_Hospental_UR02_RLFX.wav,Wortschatz,Haus und Garten,schaukeln,72
276,Män(n)er,jung,M,Schmitten,GR07,QVXX,276_Mann Plural_Män(n)er_jung_M_Schmitten_GR07_QVXX.wav,Grammatik,Substantiv,Mann Plural,276
324,Patrick,alt,W,Meiringen,BE17,XVXT,324_(der) Patrick_Patrick_alt_W_Meiringen_BE17_XVXT.wav,Grammatik,Satzbau,(der) Patrick,324
32,eswAs,jung,W,Davos-Frauenkirch,GR03,OEZX,032_etwas_eswAs_jung_W_Davos-Frauenkirch_GR03_OEZX.wav,Wortschatz,Häufige Wörter,etwas,32
54,Im(m)i,alt,M,Davos-Frauenkirch,GR03,TVAU,054_Biene_Im(m)i_alt_M_Davos-Frauenkirch_GR03_TVAU.wav,Wortschatz,Tier,Biene,54
66,Butz,alt,M,Obersaxen,GR05,IZSQ,066_Pfütze_Butz_alt_M_Obersaxen_GR05_IZSQ.wav,Wortschatz,Haus und Garten,Pfütze,66
70,Züü,alt,M,Visp,VS10,QEOR,070_Zaun_Züü_alt_M_Visp_VS10_QEOR.wav,Wortschatz,Haus und Garten,Zaun,70
186,ei,jung,M,Langenthal,BE14,BNOO,186_Geiss_ei_jung_M_Langenthal_BE14_BNOO.wav,Lautung,Vokale,Geiss,186
84,Heiper,jung,M,Simplon-Dorf,VS07,VPSN,084_Heidelbeere_Heiper_jung_M_Simplon-Dorf_VS07_VPSN.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
40,nach,jung,M,Langenthal,BE14,NUCN,040_nach-auf_nach_jung_M_Langenthal_BE14_NUCN.wav,Wortschatz,Häufige Wörter,nach/auf,40
116,Niif(f)a,jung,M,Blatten,VS01,STGG,116_Schnupfen_Niif(f)a_jung_M_Blatten_VS01_STGG.wav,Wortschatz,Mensch,Schnupfen,116
244,KiOsk,alt,M,Würenlingen,AG10,OGQG,244_Kiosk_KiOsk_alt_M_Würenlingen_AG10_OGQG.wav,Lautung,Prosodie,Kiosk,244
270,i(ch) verchumu,jung,M,Zermatt,VS11,ZEWN,270_bekommen_i(ch) verchumu_jung_M_Zermatt_VS11_ZEWN.wav,Grammatik,Verb,bekommen,270
98,Aiche,alt,M,Ernen,VS02,OPGH,098_Butter_Aiche_alt_M_Ernen_VS02_OPGH.wav,Wortschatz,Essen und Trinken,Butter,98
32,eswAs,alt,W,Schiers,GR06,XEUG,032_etwas_eswAs_alt_W_Schiers_GR06_XEUG.wav,Wortschatz,Häufige Wörter,etwas,32
112,Runggel(i),jung,M,Muotathal,SZ03,FJJI,112_Dutt_Runggel(i)_jung_M_Muotathal_SZ03_FJJI.wav,Wortschatz,Mensch,Dutt,112
44,Hane,jung,W,Ernen,VS02,JVOT,044_Hahn_Hane_jung_W_Ernen_VS02_JVOT.wav,Wortschatz,Tier,Hahn,44
330,(won i es Chind) bi(n) gsii,alt,M,Lauterbrunnen,BE16,HZVF,330_gewesen bin_(won i es Chind) bi(n) gsii_alt_M_Lauterbrunnen_BE16_HZVF.wav,Grammatik,Satzbau,gewesen bin,330
72,ritiplampe,alt,W,Escholzmatt,LU01,LQUM,072_schaukeln_ritiplampe_alt_W_Escholzmatt_LU01_LQUM.wav,Wortschatz,Haus und Garten,schaukeln,72
88,Böle,jung,W,Schiers,GR06,BYRX,088_Zwiebel_Böle_jung_W_Schiers_GR06_BYRX.wav,Wortschatz,Essen und Trinken,Zwiebel,88
232,ng,jung,M,Burgdorf,BE07,GZMD,232_finden_ng_jung_M_Burgdorf_BE07_GZMD.wav,Lautung,Konsonanten,finden,232
302,mini,jung,W,Fischingen,TG03,NMCH,302_meine Cousine_mini_jung_W_Fischingen_TG03_NMCH.wav,Grammatik,Pronomen,meine Cousine,302
332,la-ne-la-gaa,alt,M,Sarnen-Kägiswil,OW03,CAVF,332_Lass ihn gehen_la-ne-la-gaa_alt_M_Sarnen-Kägiswil_OW03_CAVF.wav,Grammatik,Satzbau,Lass ihn gehen,332
70,Zuun,jung,W,Sumiswald,BE22,BLZL,070_Zaun_Zuun_jung_W_Sumiswald_BE22_BLZL.wav,Wortschatz,Haus und Garten,Zaun,70
70,Haag,alt,M,Gränichen,AG05,PWBS,070_Zaun_Haag_alt_M_Gränichen_AG05_PWBS.wav,Wortschatz,Haus und Garten,Zaun,70
168,ìa,jung,M,Jaun,FR04,QOST,168_Schnee_ìa_jung_M_Jaun_FR04_QOST.wav,Lautung,Vokale,Schnee,168
72,wiggiwäägge,jung,W,Vals,GR09,KFYD,072_schaukeln_wiggiwäägge_jung_W_Vals_GR09_KFYD.wav,Wortschatz,Haus und Garten,schaukeln,72
88,Bölle,jung,W,Hintere Linthal-Auen,GL01,WCWE,088_Zwiebel_Bölle_jung_W_Hintere Linthal-Auen_GL01_WCWE.wav,Wortschatz,Essen und Trinken,Zwiebel,88
150,ä,jung,M,Solothurn,SO04,FFOD,150_Speck_ä_jung_M_Solothurn_SO04_FFOD.wav,Lautung,Vokale,Speck,150
176,üü,jung,M,Burgdorf,BE07,GZMD,176_Mäuse_üü_jung_M_Burgdorf_BE07_GZMD.wav,,,,0
196,iè,jung,M,Brig-Glis-Gamsen-Ried-Brig,VS03,TFRP,196_vier_iè_jung_M_Brig-Glis-Gamsen-Ried-Brig_VS03_TFRP.wav,,,,0
54,Bien(d)li,alt,W,Winterthur,ZH06,UMFL,054_Biene_Bien(d)li_alt_W_Winterthur_ZH06_UMFL.wav,Wortschatz,Tier,Biene,54
84,Heiper,alt,M,Simplon-Dorf,VS07,IXXR,084_Heidelbeere_Heiper_alt_M_Simplon-Dorf_VS07_IXXR.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
84,Häipe(e)ri,alt,W,Unterschächen,UR03,ZPGU,084_Heidelbeere_Häipe(e)ri_alt_W_Unterschächen_UR03_ZPGU.wav,Wortschatz,Essen und Trinken,Heidelbeere,84
186,òa,jung,M,Oberriet,SG07,EWCC,186_Geiss_òa_jung_M_Oberriet_SG07_EWCC.wav,Lautung,Vokale,Geiss,186
154,e,alt,W,Herisau,AR01,BCMG,154_Schlitten_e_alt_W_Herisau_AR01_BCMG.wav,Lautung,Vokale,Schlitten,154
26,löög,jung,M,Meiringen,BE17,NJTA,026_schau_löög_jung_M_Meiringen_BE17_NJTA.wav,Wortschatz,Häufige Wörter,schau!,26
156,ò,alt,M,Burgdorf,BE07,SXMH,156_gotte_ò_alt_M_Burgdorf_BE07_SXMH.wav,Lautung,Vokale,Gotte,156
278,Better,jung,W,Fischingen,TG03,VFKD,278_Bett Plural_Better_jung_W_Fischingen_TG03_VFKD.wav,Grammatik,Substantiv,Bett Plural,278
212,ch,jung,W,Bülach,ZH02,TPTK,212_Kind_ch_jung_W_Bülach_ZH02_TPTK.wav,Lautung,Konsonanten,Kind,212
310,die,alt,W,Willisau,LU06,CWHJ,310_Migros_die_alt_W_Willisau_LU06_CWHJ.wav,Grammatik,Genuss,Migros,310
32,eppis,jung,W,Grindelwald,BE10,SDYX,032_etwas_eppis_jung_W_Grindelwald_BE10_SDYX.wav,Wortschatz,Häufige Wörter,etwas,32
98,Anke,alt,M,Sumiswald,BE22,EYLY,098_Butter_Anke_alt_M_Sumiswald_BE22_EYLY.wav,Wortschatz,Essen und Trinken,Butter,98
70,Zun,alt,W,Saanen-Gstaad,BE20,OIDW,070_Zaun_Zun_alt_W_Saanen-Gstaad_BE20_OIDW.wav,Wortschatz,Haus und Garten,Zaun,70
276,Ma,alt,W,Obersaxen,GR05,AKVO,276_Mann Plural_Ma_alt_W_Obersaxen_GR05_AKVO.wav,Grammatik,Substantiv,Mann Plural,276
120,Söigling,alt,M,Frauenfeld,TG04,HIGZ,120_Baby_Söigling_alt_M_Frauenfeld_TG04_HIGZ.wav,Wortschatz,Mensch,Baby,120
354,'(Ist) schon gut',jung,M,Engelberg,OW01,VRKE,354_Dankeserwiderung_'(Ist) schon gut'_jung_M_Engelberg_OW01_VRKE.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
224,Him(m)el,alt,W,Fischingen,TG03,FPFX,224_Himmel (l-Vokalisierung)_Him(m)el_alt_W_Fischingen_TG03_FPFX.wav,Lautung,Konsonanten,Himmel (l-Vokalisierung),224
128,Müntsi,alt,M,Düdingen,FR01,MQDQ,128_Kuss_Müntsi_alt_M_Düdingen_FR01_MQDQ.wav,Wortschatz,Gesellschaft,Kuss,128
26,lüeg,jung,M,Brig-Glis-Gamsen-Ried-Brig,VS03,TFRP,026_schau_lüeg_jung_M_Brig-Glis-Gamsen-Ried-Brig_VS03_TFRP.wav,Wortschatz,Häufige Wörter,schau!,26
54,Bi(j)eli,alt,W,Unterschächen,UR03,ZPGU,054_Biene_Bi(j)eli_alt_W_Unterschächen_UR03_ZPGU.wav,Wortschatz,Tier,Biene,54
238,ii,jung,M,Grindelwald,BE10,FQAF,238_Zins_ii_jung_M_Grindelwald_BE10_FQAF.wav,Lautung,Konsonanten,Zins,238
225,Strääu,alt,W,Münchenbuchsee,BE18,CYKL,225_Strääl_Strääu_alt_W_Münchenbuchsee_BE18_CYKL.wav,,,,0
196,ìe,alt,M,Thusis,GR08,OFQQ,196_vier_ìe_alt_M_Thusis_GR08_OFQQ.wav,,,,0
166,ei,jung,M,Mels,SG06,ASHR,166_Käse_ei_jung_M_Mels_SG06_ASHR.wav,,,,0
44,Gügel,alt,W,Teufen,AR02,UGBP,044_Hahn_Gügel_alt_W_Teufen_AR02_UGBP.wav,Wortschatz,Tier,Hahn,44
100,Gu(u)zli,jung,M,Mels,SG06,ASHR,100_Bonbon_Gu(u)zli_jung_M_Mels_SG06_ASHR.wav,Wortschatz,Essen und Trinken,Bonbon,100
32,äppus,alt,W,Bosco-Gurin,TI01,GJCI,032_etwas_äppus_alt_W_Bosco-Gurin_TI01_GJCI.wav,Wortschatz,Häufige Wörter,etwas,32
128,Muntsi,jung,W,Visp,VS10,OHPG,128_Kuss_Muntsi_jung_W_Visp_VS10_OHPG.wav,Wortschatz,Gesellschaft,Kuss,128
116,Pfnüsel,jung,W,Frauenfeld,TG04,ZUYN,116_Schnupfen_Pfnüsel_jung_W_Frauenfeld_TG04_ZUYN.wav,Wortschatz,Mensch,Schnupfen,116
284,Hündeli,alt,W,Willisau,LU06,CWHJ,284_Hündchen_Hündeli_alt_W_Willisau_LU06_CWHJ.wav,Grammatik,Substantiv,Hündchen,284
100,Bonggi,jung,W,Turtmann,VS09,IGVA,100_Bonbon_Bonggi_jung_W_Turtmann_VS09_IGVA.wav,Wortschatz,Essen und Trinken,Bonbon,100
70,Zuun,alt,W,Sumiswald,BE22,BBCP,070_Zaun_Zuun_alt_W_Sumiswald_BE22_BBCP.wav,Wortschatz,Haus und Garten,Zaun,70
54,Bieni,jung,W,Murten,FR05,GBTH,054_Biene_Bieni_jung_W_Murten_FR05_GBTH.wav,Wortschatz,Tier,Biene,54
78,Kanabett,alt,M,Ernen,VS02,OPGH,078_Sofa_Kanabett_alt_M_Ernen_VS02_OPGH.wav,Wortschatz,Haus und Garten,Sofa,78
66,Gumpi,alt,M,Reigoldswil,BL05,BPSH,066_Pfütze_Gumpi_alt_M_Reigoldswil_BL05_BPSH.wav,Wortschatz,Haus und Garten,Pfütze,66
112,Chnöiel,alt,M,Wollerau,SZ05,YDIO,112_Dutt_Chnöiel_alt_M_Wollerau_SZ05_YDIO.wav,Wortschatz,Mensch,Dutt,112
244,KIosk,jung,M,Burgdorf,BE07,GZMD,244_Kiosk_KIosk_jung_M_Burgdorf_BE07_GZMD.wav,Lautung,Prosodie,Kiosk,244
104,Tschiggolatschi,jung,W,Bosco-Gurin,TI01,FVIK,104_Schoggistängeli_Tschiggolatschi_jung_W_Bosco-Gurin_TI01_FVIK.wav,,,,0
258,sch,alt,M,Winterthur,ZH06,RATN,258_du kommst_sch_alt_M_Winterthur_ZH06_RATN.wav,Grammatik,Verb,du kommst,258
312,der,alt,W,Fischingen,TG03,FPFX,312_Tee_der_alt_W_Fischingen_TG03_FPFX.wav,Grammatik,Genuss,Tee,312
72,gireit(l)e,alt,M,Bülach,ZH02,AWQT,072_schaukeln_gireit(l)e_alt_M_Bülach_ZH02_AWQT.wav,Wortschatz,Haus und Garten,schaukeln,72
104,(Schoggi)stängeli,alt,W,Langnau,BE15,ORZF,104_Schoggistängeli_(Schoggi)stängeli_alt_W_Langnau_BE15_ORZF.wav,,,,0
100,Gu(u)zli,alt,M,Mels,SG06,TIBR,100_Bonbon_Gu(u)zli_alt_M_Mels_SG06_TIBR.wav,Wortschatz,Essen und Trinken,Bonbon,100
72,reit(l)e,jung,M,Frutigen,BE09,KBMJ,072_schaukeln_reit(l)e_jung_M_Frutigen_BE09_KBMJ.wav,Wortschatz,Haus und Garten,schaukeln,72
104,Schoggirigel,alt,W,Salgesch,VS06,CZJB,104_Schoggistängeli_Schoggirigel_alt_W_Salgesch_VS06_CZJB.wav,,,,0
82,Bätzi,alt,M,Marbach,LU03,ECVN,082_Apfelüberrest_Bätzi_alt_M_Marbach_LU03_ECVN.wav,,,,0
32,näbis,jung,W,Appenzell,AI01,TRDS,032_etwas_näbis_jung_W_Appenzell_AI01_TRDS.wav,Wortschatz,Häufige Wörter,etwas,32
238,ei,alt,W,Willisau,LU06,CWHJ,238_ZIns_ei_alt_W_Willisau_LU06_CWHJ.wav,Lautung,Konsonanten,Zins,238
100,Täfeli,alt,M,Bern,BE03,SCON,100_Bonbon_Täfeli_alt_M_Bern_BE03_SCON.wav,Wortschatz,Essen und Trinken,Bonbon,100
100,Guezi,alt,M,Düdingen,FR01,MQDQ,100_Bonbon_Guezi_alt_M_Düdingen_FR01_MQDQ.wav,Wortschatz,Essen und Trinken,Bonbon,100
26,gsich,alt,W,Blatten,VS01,IDFP,026_schau_gsich_alt_W_Blatten_VS01_IDFP.wav,Wortschatz,Häufige Wörter,schau!,26
26,lue,alt,M,Burgdorf,BE07,SXMH,026_schau_lue_alt_M_Burgdorf_BE07_SXMH.wav,Wortschatz,Häufige Wörter,schau!,26
284,Hun(d)ji,alt,W,Saas-Grund,VS05,QDBA,284_Hündchen_Hun(d)ji_alt_W_Saas-Grund_VS05_QDBA.wav,Grammatik,Substantiv,Hündchen,284
228,re,alt,M,Muotathal,SZ03,AOLG,228_gern_re_alt_M_Muotathal_SZ03_AOLG.wav,Lautung,Konsonanten,gern,228
290,alt,alt,M,Muotathal,SZ03,AOLG,290_alte Männer_alt_alt_M_Muotathal_SZ03_AOLG.wav,Grammatik,Adjektiv,alte Männer,290
354,'(Ist) schon gut',alt,W,St. Niklaus,VS08,CGIB,354_Dankeserwiderung_'(Ist) schon gut'_alt_W_St. Niklaus_VS08_CGIB.wav,Sprache im Alltag,Höflichkeit,Dankeserwiderung,354
70,Zuu,jung,M,Vättis,SG11,BHBK,070_Zaun_Zuu_jung_M_Vättis_SG11_BHBK.wav,Wortschatz,Haus und Garten,Zaun,70
66,Glutta,alt,W,Zermatt,VS11,IJMG,066_Pfütze_Glutta_alt_W_Zermatt_VS11_IJMG.wav,Wortschatz,Haus und Garten,Pfütze,66
32,näbis,alt,W,Appenzell,AI01,SSZQ,032_etwas_näbis_alt_W_Appenzell_AI01_SSZQ.wav,Wortschatz,Häufige Wörter,etwas,32
256,chumu,alt,M,Saas-Grund,VS05,AMHY,256_ich komme_chumu_alt_M_Saas-Grund_VS05_AMHY.wav,Grammatik,Verb,ich komme,256
120,Busch(el)i,alt,M,Reigoldswil,BL05,BPSH,120_Baby_Busch(el)i_alt_M_Reigoldswil_BL05_BPSH.wav,Wortschatz,Mensch,Baby,120
328,la gaa glaa,alt,M,Vals,GR09,OYUZ,328_gehen lassen_la gaa glaa_alt_M_Vals_GR09_OYUZ.wav,Grammatik,Satzbau,gehen lassen,328
26,lotz,alt,M,Simplon-Dorf,VS07,IXXR,026_schau_lotz_alt_M_Simplon-Dorf_VS07_IXXR.wav,Wortschatz,Häufige Wörter,schau!,26
98,Aiche,jung,M,Blatten,VS01,STGG,098_Butter_Aiche_jung_M_Blatten_VS01_STGG.wav,Wortschatz,Essen und Trinken,Butter,98
225,Sole,alt,M,Sumiswald,BE22,EYLY,225_Sohle_Sole_alt_M_Sumiswald_BE22_EYLY.wav,Lautung,Konsonanten,Sohle,225
246,militÄr,alt,W,Brugg,AG03,FLKN,246_Militär_militÄr_alt_W_Brugg_AG03_FLKN.wav,,,,0
112,Bommel,jung,M,Basel,BS01,XXCT,112_Dutt_Bommel_jung_M_Basel_BS01_XXCT.wav,Wortschatz,Mensch,Dutt,112
246,mIlitär,alt,M,Saas-Grund,VS05,AMHY,246_Militär_mIlitär_alt_M_Saas-Grund_VS05_AMHY.wav,,,,0
30,nit,jung,M,Bosco-Gurin,TI01,UPAW,030_nichts_nit_jung_M_Bosco-Gurin_TI01_UPAW.wav,Wortschatz,Häufige Wörter,nichts,30
26,lotz,jung,W,Simplon-Dorf,VS07,CLBF,026_schau_lotz_jung_W_Simplon-Dorf_VS07_CLBF.wav,Wortschatz,Häufige Wörter,schau!,26
328,la gaa,alt,W,Sumiswald,BE22,BBCP,328_gehen lassen_la gaa_alt_W_Sumiswald_BE22_BBCP.wav,Grammatik,Satzbau,gehen lassen,328
112,Wurgeli,jung,W,Unterschächen,UR03,FIBD,112_Dutt_Wurgeli_jung_W_Unterschächen_UR03_FIBD.wav,Wortschatz,Mensch,Dutt,112
120,Pupp(el)i,jung,M,Chur-Masans,GR01,IPMA,120_Baby_Pupp(el)i_jung_M_Chur-Masans_GR01_IPMA.wav,Wortschatz,Mensch,Baby,120
242,Patrick,jung,W,Mels,SG06,XNAU,242_Patrick_Patrick_jung_W_Mels_SG06_XNAU.wav,Lautung,Konsonanten,Patrick,242
176,ii,jung,M,Blatten,VS01,STGG,176_Mäuse_ii_jung_M_Blatten_VS01_STGG.wav,,,,0
